Ship,Flag
MS Mediterranean Sky,Greece
Mimis,Greece
Nordland,Antigua and Barbuda
Panagiotis,Greece
Patris,Greece
HMS Perseus,Royal Navy
MS Sea Diamond,Greece
MV Sebastiano Veniero,Italy
SS Slamat,Netherlands
Thérèse,French Navy
U-133,Kriegsmarine
U-596,Kriegsmarine
"Vasilissa Olga (""Queen Olga"")",Hellenic Navy
Coburg,Kriegsmarine
MS Hans Hedtoft,Denmark
Kriegsmarine,17-Jun-43
USCGC Alexander Hamilton,United States Coast Guard
ES Goðafoss,Iceland
HMS Niger,Royal Navy
U-253,Kriegsmarine
Alondra,United Kingdom
RMS Andania,United Kingdom
HMS Audacious,Royal Navy
MV Bolivar,Norway
RMS Carpathia,United Kingdom
SS Chirripo,United Kingdom
SS Cymric,United Kingdom
SV Dido,German Empire
SV Edmond,
RMS Empress of Britain,United Kingdom
Ems,Germany
SS Fulmar,United Kingdom
SS Illyrian,Unknown
SS Housatonic,United Kingdom
SS Innisfallen,United Kingdom
La Juliana,Spain
La Lavia,Spain
Santa Maria de la Vison,Spain
MV Kowloon Bridge,Hong Kong
RMS Laconia,United Kingdom
SS Laurentic,United Kingdom
HMS Lee,Royal Navy
RMS Leinster,United Kingdom
HMHS Llandovery Castle,Royal Navy
RMS Lusitania,United Kingdom
SS Minnehaha,United Kingdom
MV Plassy,Ireland
Ranga,Spain
Rochdale and Prince of Wales,Unknown
Rockingham,Unknown
Samson,Malta
RMS Tayleur,United Kingdom
Trinidad Valencera,Unknown
Tullaghmurray Lass,Ireland
U-68,Imperial German Navy
U-260,Kriegsmarine
U-637,Royal Navy
U-778,Royal Navy
U-802,Royal Navy
U-825,Royal Navy
U-861,Royal Navy
UC-33,Imperial German Navy
UC-42,Imperial German Navy
HMS Wasp,Royal Navy
HMS Wolverine,Royal Navy
York,East India Company
FV Solway Harvester,United Kingdom
Caligula's Giant Ship,Roman Empire
SS Torero,United Kingdom
SS Dia,Panama
F174,Egypt
Giglio Island shipwreck,Unknown
Giovanni delle Bande Nere,Regia Marina
MT Haven,Cyprus
HMS Hebe,Royal Navy
HMS Inglefield,Royal Navy
HMS Janus,Royal Navy
SS Loreto,Italy
Marsala Punic shipwreck,Punic
Nemi ships,Roman Empire
HMS Odin,Royal Navy
HMS Pakenham,Royal Navy
USS Portent,United States Navy
SS Principessa Jolanda,Kingdom of Italy
Roma,Regia Marina
USS SC-694,United States Navy
Scindian,Kingdom of Italy
HMS Spartan,Royal Navy
USS Swerve,United States Navy
HMS Thetis,Royal Navy
SS Transylvania,United Kingdom
Uj-2210,Kriegsmarine
Moero,Kriegsmarine
U-580,Kriegsmarine
Gozo Phoenician shipwreck,Phoenician
HMY Aegusa,Royal Navy
HMS Ariel,Royal Navy
MV Camadan,Turkey
MV Cominoland,Malta
HM Drifter Eddy,Royal Navy
HMS Hellespont,Royal Navy
MT Hephaestus,Togo
MV Imperial Eagle,Malta
HMS Jersey,Royal Navy
MV Karwela,Malta
ORP Kujawiak,Polish Navy
MV Lady Davinia,Malta
MV Levant II,Malta
SS Luciston,United Kingdom
HMS Maori,Royal Navy
SS Margit,Free France
HMS Nasturtium,Royal Navy
HMS Olympus,Royal Navy
P29,Maritime Squadron of the Armed Forces of Malta
P31,Maritime Squadron of the Armed Forces of Malta
P33,Maritime Squadron of the Armed Forces of Malta
SS Polynesien,France
MV Rozi,Malta
HMS Russell,Royal Navy
S-31,Kriegsmarine
S-??,Royal Navy
St. Angelo,Royal Navy
St. Michael,Malta
HMS Southwold,Royal Navy
HMS Stubborn,Royal Navy
Tug No. 2,Malta
Tug No. 10,Malta
Um El Faroud,Libya
X127,United Kingdom
MV Xlendi,Malta
Fresnel,France
Skanderbeg,Italy
Palmwood shipwreck,
MV Aqueity,United Kingdom
SS Berlin,United Kingdom
MV Christiaan Huygens,Netherlands
HMS E47,Royal Navy
HNLMS Johan Maurits van Nassau,Royal Netherlands Navy
Katowice,Poland
HMS Lutine,French Navy
SS Hertha Engeline Fritzen,Nazi Germany
SS Rotterdam,Netherlands
U-7,Imperial German Navy
UB-61,Imperial German Navy
UC-10,Imperial German Navy
't Vliegend Hert (Flying Hart),Dutch East India Company
Akerendam,Dutch East India Company
D/S Malmberget,Unknown
FV Gaul,United Kingdom
Z2 Georg Thiele,Kriegsmarine
ORP Grom,Polish Navy
Haakon Jarl II,Norway
MV Hamburg,Nazi Germany
Z18 Hans Lüdemann,Kriegsmarine
HMS Hardy,Royal Navy
SS Henry,Norway
HMS Hunter,Royal Navy
Z19 Hermann Künne,Kriegsmarine
SS Irma,Norway
Karlsruhe,Kriegsmarine
HDMS Lossen,Denmark-Norway
SS Martti Ragnar,Finland
Murmansk,Russian Navy
SS Nerva,Norway
