line_index,Player,gender
1108,MERCUTIO,Male
1109,BENVOLIO,Male
1110,MERCUTIO,Male
1111,BENVOLIO,Male
1112,BENVOLIO,Male
1113,MERCUTIO,Male
1114,MERCUTIO,Male
1115,MERCUTIO,Male
1116,MERCUTIO,Male
1117,MERCUTIO,Male
1118,BENVOLIO,Male
1119,MERCUTIO,Male
1120,MERCUTIO,Male
1121,MERCUTIO,Male
1122,MERCUTIO,Male
1123,MERCUTIO,Male
1124,MERCUTIO,Male
1125,MERCUTIO,Male
1126,MERCUTIO,Male
1127,MERCUTIO,Male
1128,BENVOLIO,Male
1129,MERCUTIO,Male
1130,MERCUTIO,Male
1131,MERCUTIO,Male
1132,MERCUTIO,Male
1133,MERCUTIO,Male
1134,MERCUTIO,Male
1135,MERCUTIO,Male
1136,MERCUTIO,Male
1137,MERCUTIO,Male
1138,BENVOLIO,Male
1139,MERCUTIO,Male
1140,MERCUTIO,Male
1141,MERCUTIO,Male
1142,MERCUTIO,Male
1143,MERCUTIO,Male
1144,MERCUTIO,Male
1145,MERCUTIO,Male
1146,MERCUTIO,Male
1147,MERCUTIO,Male
1148,MERCUTIO,Male
1149,ROMEO,Male
1150,MERCUTIO,Male
1151,ROMEO,Male
1152,ROMEO,Male
1153,MERCUTIO,Male
1154,MERCUTIO,Male
1155,ROMEO,Male
1156,MERCUTIO,Male
1157,ROMEO,Male
1158,MERCUTIO,Male
1159,ROMEO,Male
1160,MERCUTIO,Male
1161,ROMEO,Male
1162,MERCUTIO,Male
1163,MERCUTIO,Male
1164,MERCUTIO,Male
1165,ROMEO,Male
1166,ROMEO,Male
1167,MERCUTIO,Male
1168,ROMEO,Male
1169,MERCUTIO,Male
1170,MERCUTIO,Male
1171,MERCUTIO,Male
1172,MERCUTIO,Male
1173,ROMEO,Male
1174,ROMEO,Male
1175,MERCUTIO,Male
1176,ROMEO,Male
1177,MERCUTIO,Male
1178,MERCUTIO,Male
1179,ROMEO,Male
1180,MERCUTIO,Male
1181,MERCUTIO,Male
1182,ROMEO,Male
1183,ROMEO,Male
1184,MERCUTIO,Male
1185,MERCUTIO,Male
1186,MERCUTIO,Male
1187,MERCUTIO,Male
1188,MERCUTIO,Male
1189,BENVOLIO,Male
1190,MERCUTIO,Male
1191,BENVOLIO,Male
1192,MERCUTIO,Male
1193,MERCUTIO,Male
1194,MERCUTIO,Male
1195,ROMEO,Male
1196,MERCUTIO,Male
1197,BENVOLIO,Male
1198,Nurse,Female
1199,PETER,Male
1200,Nurse,Female
1201,MERCUTIO,Male
1202,MERCUTIO,Male
1203,Nurse,Female
1204,MERCUTIO,Male
1205,Nurse,Female
1206,MERCUTIO,Male
1207,MERCUTIO,Male
1208,Nurse,Female
1209,ROMEO,Male
1210,ROMEO,Male
1211,Nurse,Female
1212,Nurse,Female
1213,Nurse,Female
1214,ROMEO,Male
1215,ROMEO,Male
1216,ROMEO,Male
1217,Nurse,Female
1218,MERCUTIO,Male
1219,MERCUTIO,Male
1220,Nurse,Female
1221,Nurse,Female
1222,BENVOLIO,Male
1223,MERCUTIO,Male
1224,ROMEO,Male
1225,MERCUTIO,Male
1226,MERCUTIO,Male
1227,MERCUTIO,Male
1228,MERCUTIO,Male
1229,MERCUTIO,Male
1230,MERCUTIO,Male
1231,MERCUTIO,Male
1232,MERCUTIO,Male
1233,MERCUTIO,Male
1234,MERCUTIO,Male
1235,ROMEO,Male
1236,MERCUTIO,Male
1237,MERCUTIO,Male
1238,Nurse,Female
1239,Nurse,Female
1240,ROMEO,Male
1241,ROMEO,Male
1242,ROMEO,Male
1243,Nurse,Female
1244,Nurse,Female
1245,Nurse,Female
1246,Nurse,Female
1247,Nurse,Female
1248,Nurse,Female
1249,PETER,Male
1250,PETER,Male
1251,PETER,Male
1252,PETER,Male
1253,Nurse,Female
1254,Nurse,Female
1255,Nurse,Female
1256,Nurse,Female
1257,Nurse,Female
1258,Nurse,Female
1259,Nurse,Female
1260,Nurse,Female
1261,Nurse,Female
1262,Nurse,Female
1263,ROMEO,Male
1264,ROMEO,Male
1265,Nurse,Female
1266,Nurse,Female
1267,ROMEO,Male
1268,Nurse,Female
1269,Nurse,Female
1270,ROMEO,Male
1271,ROMEO,Male
1272,ROMEO,Male
1273,ROMEO,Male
1274,Nurse,Female
1275,ROMEO,Male
1276,Nurse,Female
1277,ROMEO,Male
1278,ROMEO,Male
1279,ROMEO,Male
1280,ROMEO,Male
1281,ROMEO,Male
1282,ROMEO,Male
1283,ROMEO,Male
1284,Nurse,Female
1285,ROMEO,Male
1286,Nurse,Female
1287,Nurse,Female
1288,ROMEO,Male
1289,NURSE,Female
1290,NURSE,Female
1291,NURSE,Female
1292,NURSE,Female
1293,NURSE,Female
1294,NURSE,Female
1295,NURSE,Female
1296,NURSE,Female
1297,NURSE,Female
1298,ROMEO,Male
1299,Nurse,Female
1300,Nurse,Female
1301,Nurse,Female
1302,Nurse,Female
1303,Nurse,Female
1304,ROMEO,Male
1305,Nurse,Female
1306,Nurse,Female
1307,PETER,Male
1308,Nurse,Female
1309,JULIET,Female
1310,JULIET,Female
1311,JULIET,Female
1312,JULIET,Female
1313,JULIET,Female
1314,JULIET,Female
1315,JULIET,Female
1316,JULIET,Female
1317,JULIET,Female
1318,JULIET,Female
1319,JULIET,Female
1320,JULIET,Female
1321,JULIET,Female
1322,JULIET,Female
1323,JULIET,Female
1324,JULIET,Female
1325,JULIET,Female
1326,JULIET,Female
1327,JULIET,Female
1328,JULIET,Female
1329,Nurse,Female
1330,JULIET,Female
1331,JULIET,Female
1332,JULIET,Female
1333,JULIET,Female
1334,Nurse,Female
1335,Nurse,Female
1336,JULIET,Female
1337,JULIET,Female
1338,Nurse,Female
1339,Nurse,Female
1340,JULIET,Female
1341,JULIET,Female
1342,JULIET,Female
1343,JULIET,Female
1344,JULIET,Female
1345,JULIET,Female
1346,JULIET,Female
1347,Nurse,Female
1348,Nurse,Female
1349,Nurse,Female
1350,Nurse,Female
